"No.","Time","Source","Destination","Protocol","Length","Info","src_port","dst_port"
"67","1.110751367","127.0.0.1","127.0.0.1","TLSv1.2","271","Application Data","37894","4444"
"68","1.110791246","127.0.0.1","127.0.0.1","TCP","66","4444  >  37894 [ACK] Seq=1 Ack=206 Win=511 Len=0 TSval=3000168166 TSecr=3000168166","4444","37894"
"69","1.111086674","127.0.0.1","127.0.0.1","TLSv1.2","271","Application Data","37714","4444"
"70","1.111110909","127.0.0.1","127.0.0.1","TCP","66","4444  >  37714 [ACK] Seq=1 Ack=206 Win=511 Len=0 TSval=3000168167 TSecr=3000168167","4444","37714"
"71","1.111358916","127.0.0.1","127.0.0.1","TLSv1.2","271","Application Data","38180","4444"
"73","1.111670408","127.0.0.1","127.0.0.1","TLSv1.2","271","Application Data","37984","4444"
"74","1.111953405","127.0.0.1","127.0.0.1","TLSv1.2","271","Application Data","37700","4444"
"77","1.112251208","127.0.0.1","127.0.0.1","TLSv1.2","271","Application Data","38372","4444"
"83","1.112663062","127.0.0.1","127.0.0.1","TLSv1.2","271","Application Data","37844","4444"
"84","1.112694072","127.0.0.1","127.0.0.1","TCP","66","4444  >  37844 [ACK] Seq=1 Ack=206 Win=511 Len=0 TSval=3000168168 TSecr=3000168168","4444","37844"
"94","1.113150065","127.0.0.1","127.0.0.1","TLSv1.2","271","Application Data","38410","4444"
"102","1.113632180","127.0.0.1","127.0.0.1","TLSv1.2","271","Application Data","38164","4444"
"106","1.114148935","127.0.0.1","127.0.0.1","TLSv1.2","271","Application Data","38098","4444"
"113","1.114588865","127.0.0.1","127.0.0.1","TLSv1.2","271","Application Data","38508","4444"
"118","1.115073215","127.0.0.1","127.0.0.1","TLSv1.2","271","Application Data","38074","4444"
"127","1.115589691","127.0.0.1","127.0.0.1","TLSv1.2","271","Application Data","37824","4444"
"129","1.115649754","127.0.0.1","127.0.0.1","TCP","66","4444  >  37824 [ACK] Seq=1 Ack=206 Win=511 Len=0 TSval=3000168171 TSecr=3000168171","4444","37824"
"150","1.116372262","127.0.0.1","127.0.0.1","TLSv1.2","271","Application Data","38434","4444"
"162","1.116740605","127.0.0.1","127.0.0.1","TLSv1.2","271","Application Data","38290","4444"
"167","1.117080663","127.0.0.1","127.0.0.1","TLSv1.2","271","Application Data","38150","4444"
"184","1.118245545","127.0.0.1","127.0.0.1","TLSv1.2","271","Application Data","38010","4444"
"192","1.118722841","127.0.0.1","127.0.0.1","TLSv1.2","271","Application Data","38034","4444"
"202","1.119206142","127.0.0.1","127.0.0.1","TLSv1.2","271","Application Data","37956","4444"
"223","1.119775907","127.0.0.1","127.0.0.1","TLSv1.2","271","Application Data","37912","4444"
"231","1.120326536","127.0.0.1","127.0.0.1","TLSv1.2","271","Application Data","37586","4444"
"245","1.121339793","127.0.0.1","127.0.0.1","TLSv1.2","271","Application Data","37808","4444"
"247","1.121384911","127.0.0.1","127.0.0.1","TCP","66","4444  >  37808 [ACK] Seq=1 Ack=206 Win=511 Len=0 TSval=3000168177 TSecr=3000168177","4444","37808"
"271","1.122398657","127.0.0.1","127.0.0.1","TLSv1.2","271","Application Data","37684","4444"
"273","1.122426524","127.0.0.1","127.0.0.1","TCP","66","4444  >  37684 [ACK] Seq=1 Ack=206 Win=511 Len=0 TSval=3000168178 TSecr=3000168178","4444","37684"
"283","1.122872739","127.0.0.1","127.0.0.1","TLSv1.2","271","Application Data","37830","4444"
"284","1.122924632","127.0.0.1","127.0.0.1","TCP","66","4444  >  37830 [ACK] Seq=1 Ack=206 Win=511 Len=0 TSval=3000168178 TSecr=3000168178","4444","37830"
"337","1.125495279","127.0.0.1","127.0.0.1","TLSv1.2","207","Application Data","4444","37700"
"338","1.125530549","127.0.0.1","127.0.0.1","TCP","66","37700  >  4444 [ACK] Seq=206 Ack=142 Win=615 Len=0 TSval=3000168181 TSecr=3000168181","37700","4444"
"339","1.125552479","127.0.0.1","127.0.0.1","TLSv1.2","271","Application Data","37878","4444"
"340","1.125573362","127.0.0.1","127.0.0.1","TCP","66","4444  >  37878 [ACK] Seq=1 Ack=206 Win=511 Len=0 TSval=3000168181 TSecr=3000168181","4444","37878"
"349","1.126066022","127.0.0.1","127.0.0.1","TLSv1.2","271","Application Data","38418","4444"
"352","1.126352721","127.0.0.1","127.0.0.1","TLSv1.2","271","Application Data","38120","4444"
"354","1.126560848","127.0.0.1","127.0.0.1","TLSv1.2","271","Application Data","37986","4444"
"357","1.126688238","127.0.0.1","127.0.0.1","TLSv1.2","207","Application Data","4444","37714"
"358","1.126708772","127.0.0.1","127.0.0.1","TCP","66","37714  >  4444 [ACK] Seq=206 Ack=142 Win=615 Len=0 TSval=3000168182 TSecr=3000168182","37714","4444"
