"No.","Time","Source","Destination","Protocol","Length","Info","src_port","dst_port"
"38","0.656060198","127.0.0.1","127.0.0.1","TCP","66","44414  >  4444 [ACK] Seq=1 Ack=1 Win=630 Len=0 TSval=449297055 TSecr=449286815","44414","4444"
"39","0.656090648","127.0.0.1","127.0.0.1","TCP","66","[TCP ACKed unseen segment] 4444  >  44414 [ACK] Seq=1 Ack=2 Win=512 Len=0 TSval=449297055 TSecr=449256143","4444","44414"
"343","2.448378044","127.0.0.1","127.0.0.1","TCP","66","44438  >  4444 [ACK] Seq=1 Ack=1 Win=630 Len=0 TSval=449298847 TSecr=449288607","44438","4444"
"349","2.448468208","127.0.0.1","127.0.0.1","TCP","66","[TCP ACKed unseen segment] 4444  >  44438 [ACK] Seq=1 Ack=2 Win=512 Len=0 TSval=449298847 TSecr=449257975","4444","44438"
"397","3.172560782","127.0.0.1","127.0.0.1","TLSv1.2","271","Application Data","42162","4444"
"398","3.172756127","127.0.0.1","127.0.0.1","TLSv1.2","271","Application Data","42632","4444"
"399","3.172913409","127.0.0.1","127.0.0.1","TLSv1.2","271","Application Data","42674","4444"
"456","3.178692528","127.0.0.1","127.0.0.1","TLSv1.2","141","Application Data","4444","42162"
"457","3.178727867","127.0.0.1","127.0.0.1","TCP","66","42162  >  4444 [ACK] Seq=206 Ack=76 Win=630 Len=0 TSval=449299577 TSecr=449299577","42162","4444"
"462","3.179437939","127.0.0.1","127.0.0.1","TLSv1.2","141","Application Data","4444","42632"
"463","3.179463221","127.0.0.1","127.0.0.1","TCP","66","42632  >  4444 [ACK] Seq=206 Ack=76 Win=630 Len=0 TSval=449299578 TSecr=449299578","42632","4444"
"467","3.180088506","127.0.0.1","127.0.0.1","TLSv1.2","141","Application Data","4444","42674"
"468","3.180115674","127.0.0.1","127.0.0.1","TCP","66","42674  >  4444 [ACK] Seq=206 Ack=76 Win=630 Len=0 TSval=449299579 TSecr=449299579","42674","4444"
"486","3.272725448","127.0.0.1","127.0.0.1","TLSv1.2","271","Application Data","42716","4444"
"491","3.274642648","127.0.0.1","127.0.0.1","TLSv1.2","271","Application Data","42428","4444"
"492","3.274813060","127.0.0.1","127.0.0.1","TLSv1.2","271","Application Data","42440","4444"
"494","3.274975789","127.0.0.1","127.0.0.1","TLSv1.2","271","Application Data","42606","4444"
"495","3.275126506","127.0.0.1","127.0.0.1","TLSv1.2","271","Application Data","42048","4444"
"497","3.275280924","127.0.0.1","127.0.0.1","TLSv1.2","271","Application Data","42510","4444"
"498","3.275437786","127.0.0.1","127.0.0.1","TLSv1.2","271","Application Data","42544","4444"
"501","3.275609036","127.0.0.1","127.0.0.1","TLSv1.2","271","Application Data","42314","4444"
"529","3.276460884","127.0.0.1","127.0.0.1","TLSv1.2","271","Application Data","42770","4444"
"535","3.276775098","127.0.0.1","127.0.0.1","TLSv1.2","271","Application Data","42472","4444"
"638","3.279693537","127.0.0.1","127.0.0.1","TLSv1.2","141","Application Data","4444","42428"
"640","3.279710019","127.0.0.1","127.0.0.1","TCP","66","42428  >  4444 [ACK] Seq=206 Ack=76 Win=630 Len=0 TSval=449299678 TSecr=449299678","42428","4444"
"649","3.279830215","127.0.0.1","127.0.0.1","TLSv1.2","141","Application Data","4444","42716"
"650","3.279846558","127.0.0.1","127.0.0.1","TCP","66","42716  >  4444 [ACK] Seq=206 Ack=76 Win=630 Len=0 TSval=449299678 TSecr=449299678","42716","4444"
"686","3.280697708","127.0.0.1","127.0.0.1","TLSv1.2","141","Application Data","4444","42314"
"687","3.280710699","127.0.0.1","127.0.0.1","TCP","66","42314  >  4444 [ACK] Seq=206 Ack=76 Win=630 Len=0 TSval=449299679 TSecr=449299679","42314","4444"
"690","3.280732838","127.0.0.1","127.0.0.1","TLSv1.2","141","Application Data","4444","42606"
"691","3.280733816","127.0.0.1","127.0.0.1","TLSv1.2","141","Application Data","4444","42544"
"693","3.280751346","127.0.0.1","127.0.0.1","TCP","66","42544  >  4444 [ACK] Seq=206 Ack=76 Win=630 Len=0 TSval=449299679 TSecr=449299679","42544","4444"
"694","3.280751346","127.0.0.1","127.0.0.1","TCP","66","42606  >  4444 [ACK] Seq=206 Ack=76 Win=630 Len=0 TSval=449299679 TSecr=449299679","42606","4444"
"706","3.281037065","127.0.0.1","127.0.0.1","TLSv1.2","141","Application Data","4444","42048"
"707","3.281048868","127.0.0.1","127.0.0.1","TCP","66","42048  >  4444 [ACK] Seq=206 Ack=76 Win=630 Len=0 TSval=449299680 TSecr=449299680","42048","4444"
"716","3.281436205","127.0.0.1","127.0.0.1","TLSv1.2","141","Application Data","4444","42472"
"717","3.281448777","127.0.0.1","127.0.0.1","TCP","66","42472  >  4444 [ACK] Seq=206 Ack=76 Win=630 Len=0 TSval=449299680 TSecr=449299680","42472","4444"
"718","3.281455761","127.0.0.1","127.0.0.1","TLSv1.2","141","Application Data","4444","42440"
"719","3.281473989","127.0.0.1","127.0.0.1","TCP","66","42440  >  4444 [ACK] Seq=206 Ack=76 Win=630 Len=0 TSval=449299680 TSecr=449299680","42440","4444"
"722","3.281603055","127.0.0.1","127.0.0.1","TLSv1.2","141","Application Data","4444","42770"
"723","3.281621144","127.0.0.1","127.0.0.1","TCP","66","42770  >  4444 [ACK] Seq=206 Ack=76 Win=630 Len=0 TSval=449299680 TSecr=449299680","42770","4444"
"726","3.281711238","127.0.0.1","127.0.0.1","TLSv1.2","141","Application Data","4444","42510"
"728","3.281732819","127.0.0.1","127.0.0.1","TCP","66","42510  >  4444 [ACK] Seq=206 Ack=76 Win=630 Len=0 TSval=449299680 TSecr=449299680","42510","4444"
"768","3.375850806","127.0.0.1","127.0.0.1","TLSv1.2","271","Application Data","42194","4444"
"769","3.376085471","127.0.0.1","127.0.0.1","TLSv1.2","271","Application Data","42236","4444"
"770","3.376261539","127.0.0.1","127.0.0.1","TLSv1.2","271","Application Data","42250","4444"
"772","3.376478046","127.0.0.1","127.0.0.1","TLSv1.2","271","Application Data","41998","4444"
"773","3.376636166","127.0.0.1","127.0.0.1","TLSv1.2","271","Application Data","42646","4444"
"796","3.378434078","127.0.0.1","127.0.0.1","TLSv1.2","271","Application Data","42530","4444"
"880","3.381653531","127.0.0.1","127.0.0.1","TLSv1.2","141","Application Data","4444","42236"
"881","3.381658280","127.0.0.1","127.0.0.1","TLSv1.2","141","Application Data","4444","42250"
"883","3.381675042","127.0.0.1","127.0.0.1","TCP","66","42236  >  4444 [ACK] Seq=206 Ack=76 Win=630 Len=0 TSval=449299780 TSecr=449299780","42236","4444"
"884","3.381683143","127.0.0.1","127.0.0.1","TCP","66","42250  >  4444 [ACK] Seq=206 Ack=76 Win=630 Len=0 TSval=449299780 TSecr=449299780","42250","4444"
"885","3.381758501","127.0.0.1","127.0.0.1","TLSv1.2","141","Application Data","4444","42194"
"886","3.381765276","127.0.0.1","127.0.0.1","TLSv1.2","141","Application Data","4444","41998"
"888","3.381774635","127.0.0.1","127.0.0.1","TCP","66","42194  >  4444 [ACK] Seq=206 Ack=76 Win=630 Len=0 TSval=449299780 TSecr=449299780","42194","4444"
