"No.","Time","Source","Destination","Protocol","Length","Info","src_port","dst_port"
"43","0.716006348","127.0.0.1","127.0.0.1","TCP","66","55376  >  4444 [ACK] Seq=1 Ack=1 Win=630 Len=0 TSval=449438879 TSecr=449428643","55376","4444"
"44","0.716025625","127.0.0.1","127.0.0.1","TCP","66","[TCP ACKed unseen segment] 4444  >  55376 [ACK] Seq=1 Ack=2 Win=512 Len=0 TSval=449438879 TSecr=449408223","4444","55376"
"148","2.508274945","127.0.0.1","127.0.0.1","TCP","66","47384  >  4444 [ACK] Seq=1 Ack=1 Win=630 Len=0 TSval=449440671 TSecr=449430431","47384","4444"
"149","2.508304767","127.0.0.1","127.0.0.1","TCP","66","[TCP ACKed unseen segment] 4444  >  47384 [ACK] Seq=1 Ack=2 Win=512 Len=0 TSval=449440671 TSecr=449410087","4444","47384"
"156","2.589325483","127.0.0.1","127.0.0.1","TLSv1.2","271","Application Data","40572","4444"
"157","2.589519920","127.0.0.1","127.0.0.1","TLSv1.2","271","Application Data","40020","4444"
"158","2.589672034","127.0.0.1","127.0.0.1","TLSv1.2","271","Application Data","40300","4444"
"209","2.594693452","127.0.0.1","127.0.0.1","TLSv1.2","141","Application Data","4444","40572"
"210","2.594719713","127.0.0.1","127.0.0.1","TCP","66","40572  >  4444 [ACK] Seq=206 Ack=76 Win=630 Len=0 TSval=449440757 TSecr=449440757","40572","4444"
"215","2.595300020","127.0.0.1","127.0.0.1","TLSv1.2","141","Application Data","4444","40300"
"216","2.595323487","127.0.0.1","127.0.0.1","TCP","66","40300  >  4444 [ACK] Seq=206 Ack=76 Win=630 Len=0 TSval=449440758 TSecr=449440758","40300","4444"
"226","2.597215616","127.0.0.1","127.0.0.1","TLSv1.2","141","Application Data","4444","40020"
"227","2.597233914","127.0.0.1","127.0.0.1","TCP","66","40020  >  4444 [ACK] Seq=206 Ack=76 Win=630 Len=0 TSval=449440760 TSecr=449440760","40020","4444"
"245","2.689948645","127.0.0.1","127.0.0.1","TLSv1.2","271","Application Data","40490","4444"
"246","2.690660952","127.0.0.1","127.0.0.1","TLSv1.2","271","Application Data","40510","4444"
"254","2.691570141","127.0.0.1","127.0.0.1","TLSv1.2","271","Application Data","40118","4444"
"256","2.691731892","127.0.0.1","127.0.0.1","TLSv1.2","271","Application Data","39994","4444"
"257","2.691974100","127.0.0.1","127.0.0.1","TLSv1.2","271","Application Data","40066","4444"
"258","2.692075300","127.0.0.1","127.0.0.1","TLSv1.2","271","Application Data","40534","4444"
"264","2.692459075","127.0.0.1","127.0.0.1","TLSv1.2","271","Application Data","40394","4444"
"355","2.696116223","127.0.0.1","127.0.0.1","TLSv1.2","141","Application Data","4444","40490"
"357","2.696134661","127.0.0.1","127.0.0.1","TCP","66","40490  >  4444 [ACK] Seq=206 Ack=76 Win=630 Len=0 TSval=449440859 TSecr=449440859","40490","4444"
"383","2.696737387","127.0.0.1","127.0.0.1","TLSv1.2","141","Application Data","4444","40510"
"384","2.696754708","127.0.0.1","127.0.0.1","TCP","66","40510  >  4444 [ACK] Seq=206 Ack=76 Win=630 Len=0 TSval=449440859 TSecr=449440859","40510","4444"
"397","2.697462685","127.0.0.1","127.0.0.1","TLSv1.2","141","Application Data","4444","40118"
"398","2.697465059","127.0.0.1","127.0.0.1","TLSv1.2","141","Application Data","4444","40394"
"399","2.697482659","127.0.0.1","127.0.0.1","TCP","66","40118  >  4444 [ACK] Seq=206 Ack=76 Win=630 Len=0 TSval=449440860 TSecr=449440860","40118","4444"
"400","2.697482659","127.0.0.1","127.0.0.1","TCP","66","40394  >  4444 [ACK] Seq=206 Ack=76 Win=630 Len=0 TSval=449440860 TSecr=449440860","40394","4444"
"401","2.697494183","127.0.0.1","127.0.0.1","TLSv1.2","141","Application Data","4444","39994"
"402","2.697513599","127.0.0.1","127.0.0.1","TCP","66","39994  >  4444 [ACK] Seq=206 Ack=76 Win=630 Len=0 TSval=449440860 TSecr=449440860","39994","4444"
"407","2.697627090","127.0.0.1","127.0.0.1","TLSv1.2","141","Application Data","4444","40534"
"408","2.697645598","127.0.0.1","127.0.0.1","TCP","66","40534  >  4444 [ACK] Seq=206 Ack=76 Win=630 Len=0 TSval=449440860 TSecr=449440860","40534","4444"
"415","2.698427117","127.0.0.1","127.0.0.1","TLSv1.2","141","Application Data","4444","40066"
"416","2.698453378","127.0.0.1","127.0.0.1","TCP","66","40066  >  4444 [ACK] Seq=206 Ack=76 Win=630 Len=0 TSval=449440861 TSecr=449440861","40066","4444"
"446","2.792711243","127.0.0.1","127.0.0.1","TLSv1.2","271","Application Data","40216","4444"
"448","2.793438496","127.0.0.1","127.0.0.1","TLSv1.2","271","Application Data","40572","4444"
"449","2.793723447","127.0.0.1","127.0.0.1","TLSv1.2","271","[TCP Previous segment not captured] , Application Data","55376","4444"
"453","2.794001064","127.0.0.1","127.0.0.1","TLSv1.2","271","Application Data","40748","4444"
"468","2.795201978","127.0.0.1","127.0.0.1","TLSv1.2","271","Application Data","39976","4444"
"472","2.795639182","127.0.0.1","127.0.0.1","TLSv1.2","271","Application Data","40114","4444"
"497","2.796564154","127.0.0.1","127.0.0.1","TLSv1.2","271","Application Data","40604","4444"
"511","2.796926209","127.0.0.1","127.0.0.1","TLSv1.2","271","Application Data","39938","4444"
"513","2.797021123","127.0.0.1","127.0.0.1","TLSv1.2","271","Application Data","40388","4444"
"576","2.798368982","127.0.0.1","127.0.0.1","TLSv1.2","141","Application Data","4444","40572"
"577","2.798376664","127.0.0.1","127.0.0.1","TLSv1.2","141","Application Data","4444","55376"
"578","2.798383928","127.0.0.1","127.0.0.1","TCP","66","40572  >  4444 [ACK] Seq=411 Ack=151 Win=630 Len=0 TSval=449440961 TSecr=449440961","40572","4444"
"581","2.798394404","127.0.0.1","127.0.0.1","TCP","66","55376  >  4444 [ACK] Seq=207 Ack=76 Win=630 Len=0 TSval=449440961 TSecr=449440961","55376","4444"
"589","2.798624739","127.0.0.1","127.0.0.1","TLSv1.2","141","Application Data","4444","40216"
"590","2.798636682","127.0.0.1","127.0.0.1","TCP","66","40216  >  4444 [ACK] Seq=206 Ack=76 Win=630 Len=0 TSval=449440961 TSecr=449440961","40216","4444"
"618","2.799385516","127.0.0.1","127.0.0.1","TLSv1.2","141","Application Data","4444","40748"
"620","2.799398786","127.0.0.1","127.0.0.1","TCP","66","40748  >  4444 [ACK] Seq=206 Ack=76 Win=630 Len=0 TSval=449440962 TSecr=449440962","40748","4444"
"628","2.799753368","127.0.0.1","127.0.0.1","TLSv1.2","271","Application Data","40418","4444"
"630","2.799818180","127.0.0.1","127.0.0.1","TLSv1.2","141","Application Data","4444","40114"
"631","2.799821043","127.0.0.1","127.0.0.1","TLSv1.2","141","Application Data","4444","39976"
"632","2.799837805","127.0.0.1","127.0.0.1","TCP","66","39976  >  4444 [ACK] Seq=206 Ack=76 Win=630 Len=0 TSval=449440962 TSecr=449440962","39976","4444"
"633","2.799838713","127.0.0.1","127.0.0.1","TCP","66","40114  >  4444 [ACK] Seq=206 Ack=76 Win=630 Len=0 TSval=449440962 TSecr=449440962","40114","4444"
"661","2.800787222","127.0.0.1","127.0.0.1","TLSv1.2","141","Application Data","4444","39938"
"662","2.800798466","127.0.0.1","127.0.0.1","TCP","66","39938  >  4444 [ACK] Seq=206 Ack=76 Win=630 Len=0 TSval=449440963 TSecr=449440963","39938","4444"
"664","2.800897571","127.0.0.1","127.0.0.1","TLSv1.2","141","Application Data","4444","40604"
"665","2.800915799","127.0.0.1","127.0.0.1","TCP","66","40604  >  4444 [ACK] Seq=206 Ack=76 Win=630 Len=0 TSval=449440963 TSecr=449440963","40604","4444"
"668","2.801044097","127.0.0.1","127.0.0.1","TLSv1.2","141","Application Data","4444","40388"
"669","2.801063373","127.0.0.1","127.0.0.1","TCP","66","40388  >  4444 [ACK] Seq=206 Ack=76 Win=630 Len=0 TSval=449440964 TSecr=449440964","40388","4444"
"688","2.803011025","127.0.0.1","127.0.0.1","TLSv1.2","141","Application Data","4444","40418"
"689","2.803023876","127.0.0.1","127.0.0.1","TCP","66","40418  >  4444 [ACK] Seq=206 Ack=76 Win=630 Len=0 TSval=449440966 TSecr=449440966","40418","4444"
"728","2.896370248","127.0.0.1","127.0.0.1","TLSv1.2","271","Application Data","40692","4444"
"730","2.897228453","127.0.0.1","127.0.0.1","TLSv1.2","271","Application Data","39958","4444"
"767","2.900041503","127.0.0.1","127.0.0.1","TLSv1.2","141","Application Data","4444","40692"
"768","2.900060081","127.0.0.1","127.0.0.1","TCP","66","40692  >  4444 [ACK] Seq=206 Ack=76 Win=630 Len=0 TSval=449441063 TSecr=449441063","40692","4444"
"772","2.900577602","127.0.0.1","127.0.0.1","TLSv1.2","141","Application Data","4444","39958"
"773","2.900594713","127.0.0.1","127.0.0.1","TCP","66","39958  >  4444 [ACK] Seq=206 Ack=76 Win=630 Len=0 TSval=449441063 TSecr=449441063","39958","4444"
"788","2.995540930","127.0.0.1","127.0.0.1","TLSv1.2","271","Application Data","40176","4444"
"789","2.995618942","127.0.0.1","127.0.0.1","TLSv1.2","271","Application Data","40008","4444"
"798","2.997192038","127.0.0.1","127.0.0.1","TLSv1.2","271","Application Data","40186","4444"
"825","2.999646595","127.0.0.1","127.0.0.1","TLSv1.2","271","Application Data","40588","4444"
"845","3.000786538","127.0.0.1","127.0.0.1","TLSv1.2","141","Application Data","4444","40176"
"846","3.000806023","127.0.0.1","127.0.0.1","TCP","66","40176  >  4444 [ACK] Seq=206 Ack=76 Win=630 Len=0 TSval=449441163 TSecr=449441163","40176","4444"
"849","3.001047044","127.0.0.1","127.0.0.1","TLSv1.2","141","Application Data","4444","40008"
"850","3.001065971","127.0.0.1","127.0.0.1","TCP","66","40008  >  4444 [ACK] Seq=206 Ack=76 Win=630 Len=0 TSval=449441164 TSecr=449441164","40008","4444"
"863","3.001905039","127.0.0.1","127.0.0.1","TLSv1.2","271","Application Data","40086","4444"
"872","3.002665327","127.0.0.1","127.0.0.1","TLSv1.2","141","Application Data","4444","40186"
"873","3.002684882","127.0.0.1","127.0.0.1","TCP","66","40186  >  4444 [ACK] Seq=206 Ack=76 Win=630 Len=0 TSval=449441165 TSecr=449441165","40186","4444"
"893","3.005047669","127.0.0.1","127.0.0.1","TLSv1.2","141","Application Data","4444","40588"
"894","3.005073021","127.0.0.1","127.0.0.1","TCP","66","40588  >  4444 [ACK] Seq=206 Ack=76 Win=630 Len=0 TSval=449441168 TSecr=449441168","40588","4444"
"904","3.006609450","127.0.0.1","127.0.0.1","TLSv1.2","141","Application Data","4444","40086"
"905","3.006630263","127.0.0.1","127.0.0.1","TCP","66","40086  >  4444 [ACK] Seq=206 Ack=76 Win=630 Len=0 TSval=449441169 TSecr=449441169","40086","4444"
"929","3.097880222","127.0.0.1","127.0.0.1","TLSv1.2","271","Application Data","40510","4444"
"930","3.098100221","127.0.0.1","127.0.0.1","TLSv1.2","271","Application Data","40646","4444"
"931","3.098292423","127.0.0.1","127.0.0.1","TLSv1.2","271","Application Data","40378","4444"
"933","3.098878108","127.0.0.1","127.0.0.1","TLSv1.2","271","Application Data","40016","4444"
"987","3.103041462","127.0.0.1","127.0.0.1","TLSv1.2","271","Application Data","40180","4444"
"1009","3.104096478","127.0.0.1","127.0.0.1","TLSv1.2","141","Application Data","4444","40510"
"1011","3.104108561","127.0.0.1","127.0.0.1","TCP","66","40510  >  4444 [ACK] Seq=411 Ack=151 Win=630 Len=0 TSval=449441267 TSecr=449441267","40510","4444"
"1016","3.104503371","127.0.0.1","127.0.0.1","TLSv1.2","141","Application Data","4444","40646"
"1017","3.104533962","127.0.0.1","127.0.0.1","TCP","66","40646  >  4444 [ACK] Seq=206 Ack=76 Win=630 Len=0 TSval=449441267 TSecr=449441267","40646","4444"
"1023","3.105141717","127.0.0.1","127.0.0.1","TLSv1.2","141","Application Data","4444","40016"
"1024","3.105144999","127.0.0.1","127.0.0.1","TLSv1.2","141","Application Data","4444","40378"
"1025","3.105166510","127.0.0.1","127.0.0.1","TCP","66","40016  >  4444 [ACK] Seq=206 Ack=76 Win=630 Len=0 TSval=449441268 TSecr=449441268","40016","4444"
"1026","3.105166510","127.0.0.1","127.0.0.1","TCP","66","40378  >  4444 [ACK] Seq=206 Ack=76 Win=630 Len=0 TSval=449441268 TSecr=449441268","40378","4444"
"1047","3.108517405","127.0.0.1","127.0.0.1","TLSv1.2","141","Application Data","4444","40180"
"1048","3.108541221","127.0.0.1","127.0.0.1","TCP","66","40180  >  4444 [ACK] Seq=206 Ack=76 Win=630 Len=0 TSval=449441271 TSecr=449441271","40180","4444"
"1072","3.199109324","127.0.0.1","127.0.0.1","TLSv1.2","271","Application Data","40634","4444"
"1073","3.199318148","127.0.0.1","127.0.0.1","TLSv1.2","271","Application Data","40588","4444"
"1074","3.199480388","127.0.0.1","127.0.0.1","TLSv1.2","271","Application Data","40512","4444"
"1075","3.199857250","127.0.0.1","127.0.0.1","TLSv1.2","271","Application Data","40008","4444"
"1153","3.205057042","127.0.0.1","127.0.0.1","TLSv1.2","141","Application Data","4444","40588"
"1155","3.205075690","127.0.0.1","127.0.0.1","TCP","66","40588  >  4444 [ACK] Seq=411 Ack=151 Win=630 Len=0 TSval=449441368 TSecr=449441368","40588","4444"
"1157","3.205288844","127.0.0.1","127.0.0.1","TLSv1.2","141","Application Data","4444","40008"
"1159","3.205309028","127.0.0.1","127.0.0.1","TCP","66","40008  >  4444 [ACK] Seq=411 Ack=151 Win=630 Len=0 TSval=449441368 TSecr=449441368","40008","4444"
"1161","3.205466310","127.0.0.1","127.0.0.1","TLSv1.2","141","Application Data","4444","40634"
"1162","3.205481535","127.0.0.1","127.0.0.1","TCP","66","40634  >  4444 [ACK] Seq=206 Ack=76 Win=630 Len=0 TSval=449441368 TSecr=449441368","40634","4444"
"1165","3.205574353","127.0.0.1","127.0.0.1","TLSv1.2","271","Application Data","40252","4444"
"1169","3.205856371","127.0.0.1","127.0.0.1","TLSv1.2","271","Application Data","40678","4444"
"1182","3.207494279","127.0.0.1","127.0.0.1","TLSv1.2","141","Application Data","4444","40512"
"1183","3.207520120","127.0.0.1","127.0.0.1","TCP","66","40512  >  4444 [ACK] Seq=206 Ack=76 Win=630 Len=0 TSval=449441370 TSecr=449441370","40512","4444"
"1214","3.210882050","127.0.0.1","127.0.0.1","TLSv1.2","141","Application Data","4444","40252"
"1215","3.210905447","127.0.0.1","127.0.0.1","TCP","66","40252  >  4444 [ACK] Seq=206 Ack=76 Win=630 Len=0 TSval=449441373 TSecr=449441373","40252","4444"
"1218","3.211420174","127.0.0.1","127.0.0.1","TLSv1.2","141","Application Data","4444","40678"
"1219","3.211441266","127.0.0.1","127.0.0.1","TCP","66","40678  >  4444 [ACK] Seq=206 Ack=76 Win=630 Len=0 TSval=449441374 TSecr=449441374","40678","4444"
"1246","3.300823052","127.0.0.1","127.0.0.1","TLSv1.2","271","Application Data","40012","4444"
"1247","3.301067285","127.0.0.1","127.0.0.1","TLSv1.2","271","Application Data","40158","4444"
"1248","3.301307887","127.0.0.1","127.0.0.1","TLSv1.2","271","Application Data","39986","4444"
